country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,0.21,,,,,0.21,,,0.21
Angola,2.76,,,,,4.89,,,,,8.16,,,,,7.96,,,6.94
Albania,6.57,,,,,7.65,,,,,7.69,,,,,6.74,,,7.17
Andorra,13.3,,,,,12.6,,,,,11.1,,,,,11,,,11
United Arab Emirates,2.58,,,,,3.64,,,,,3.15,,,,,3.79,,,3.9
Argentina,8.75,,,,,8.66,,,,,9.09,,,,,9.55,,,9.65
Armenia,4.23,,,,,5.79,,,,,5.69,,,,,5.84,,,5.55
Antigua and Barbuda,5.13,,,,,5.37,,,,,5.6,,,,,5.89,,,6.38
Australia,11.7,,,,,12.1,,,,,12.4,,,,,10.8,,,10.5
Austria,13.1,,,,,12.8,,,,,12.2,,,,,12.1,,,12
Azerbaijan,3.45,,,,,1.81,,,,,2.97,,,,,4.58,,,4.41
Burundi,9.82,,,,,8.44,,,,,7.66,,,,,7.03,,,7.19
Belgium,12.5,,,,,13.1,,,,,11.4,,,,,11.8,,,11.1
Benin,2.46,,,,,2.23,,,,,2.47,,,,,2.97,,,2.81
Burkina Faso,8.4,,,,,9.19,,,,,8.58,,,,,11.8,,,12
Bangladesh,0.23,,,,,0.16,,,,,0.16,,,,,0.021,,,0.019
Bulgaria,11.8,,,,,11.4,,,,,11.3,,,,,12.3,,,12.7
Bahrain,1.74,,,,,1.76,,,,,1.69,,,,,1.3,,,1.09
Bahamas,5.58,,,,,4.28,,,,,4.12,,,,,4.55,,,4.78
Bosnia and Herzegovina,6.37,,,,,7.2,,,,,7.32,,,,,6.92,,,7.15
Belarus,15.2,,,,,15.3,,,,,17.4,,,,,12,,,11.4
Belize,5.55,,,,,7.16,,,,,7.08,,,,,6.74,,,6.22
Bolivia,3.44,,,,,4.37,,,,,5.56,,,,,4.64,,,4.43
Brazil,8.78,,,,,8.32,,,,,8.49,,,,,7.86,,,7.42
Barbados,7.11,,,,,7.4,,,,,7.95,,,,,9.33,,,9.69
Brunei,0.23,,,,,0.21,,,,,0.51,,,,,0.46,,,0.48
Bhutan,2.77,,,,,1.6,,,,,0.92,,,,,0.42,,,0.43
Botswana,9.05,,,,,9.61,,,,,8.62,,,,,6.86,,,6.59
Central African Republic,3.68,,,,,3.62,,,,,3.98,,,,,2.43,,,2.38
